0,1,0,2,1,2,0,3,1,3
0,1,0,2,1,2,0,3,0,4
0,1,0,2,1,2,0,3,1,4
0,1,0,2,1,2,0,3,3,4
0,1,0,2,0,3,1,4,2,4
0,1,0,2,1,3,2,4,3,4
0,1,0,2,0,3,0,4,0,5
0,1,0,2,0,3,0,4,1,5
0,1,0,2,0,3,1,4,1,5
0,1,0,2,0,3,1,4,2,5
0,1,0,2,0,3,1,4,4,5
0,1,0,2,1,3,2,4,3,5
0,1,0,2,1,2,0,3,4,5
0,1,0,2,1,2,3,4,3,5
0,1,0,2,1,3,2,3,4,5
0,1,0,2,0,3,0,4,5,6
0,1,0,2,0,3,1,4,5,6
0,1,0,2,0,3,4,5,4,6
0,1,0,2,1,3,2,4,5,6
0,1,0,2,1,3,4,5,4,6
0,1,0,2,1,2,3,4,5,6
0,1,0,2,0,3,4,5,6,7
0,1,0,2,1,3,4,5,6,7
0,1,0,2,3,4,3,5,6,7
0,1,0,2,3,4,5,6,7,8
0,1,2,3,4,5,6,7,8,9
