5,12
5,6
5,2
5,4
6,4
6,8
6,4
6,1
6,4
6,2
6,2
6,1
6,6
6,4
6,4
6,2
6,2
6,1
6,4
6,2
6,8
6,4
6,4
7,48
7,6
7,4
7,12
7,8
7,4
7,1
7,2
7,4
7,12
7,2
7,4
7,4
7,2
7,2
7,4
7,2
7,2
7,2
7,2
7,1
7,2
7,4
7,1
7,4
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,14
8,5040
8,120
8,48
8,12
8,24
8,72
8,4
8,6
8,12
8,6
8,2
8,6
8,8
8,4
8,2
8,2
8,2
8,8
8,2
8,2
8,1
8,2
8,2
6,48
7,4
7,16
7,4
7,8
7,4
7,24
7,12
7,48
8,24
8,4
8,4
8,8
8,144
8,8
8,12
8,2
8,4
8,8
8,12
8,4
8,8
8,4
8,4
8,4
8,12
8,4
8,4
8,4
8,48
8,12
8,16
8,20
8,24
9,1440
9,48
9,240
9,24
9,144
9,8
9,12
9,12
9,48
9,4
9,16
9,16
9,12
9,12
9,2
9,4
9,4
9,4
9,4
9,12
9,4
9,4
9,4
10,960
10,48
10,96
10,64
10,144
10,16
10,16
10,8
10,24
10,48
10,16
10,8
10,16
10,16
8,32
8,144
9,32
9,16
9,16
9,8
9,72
9,16
9,24
9,48
9,32
9,80
10,96
10,96
10,384
11,1152
11,96
11,96
11,96
11,32
11,96
11,2304
12,2304
12,768
12,384
13,7680
14,645120
